"timestamp","temp"
02/03/14 09:46,5.9
02/03/14 09:47,5.9
02/03/14 09:48,5.9
02/03/14 09:49,5.9
02/03/14 09:50,5.9
02/03/14 09:52,5.8
02/03/14 09:53,5.9
02/03/14 09:54,5.9
02/03/14 09:54,5.8
02/03/14 09:55,5.9
02/03/14 09:57,5.9
02/03/14 09:58,5.8
02/03/14 09:59,5.9
02/03/14 10:00,5.8
02/03/14 10:01,5.8
02/03/14 10:02,5.9
02/03/14 10:03,5.9
02/03/14 10:04,5.8
02/03/14 10:05,5.9
02/03/14 10:06,5.8
02/03/14 10:08,5.9
02/03/14 10:09,5.9
02/03/14 10:09,5.9
02/03/14 10:10,5.9
02/03/14 10:11,5.9
02/03/14 10:13,5.9
02/03/14 10:14,5.9
02/03/14 10:15,5.9
02/03/14 10:16,5.9
02/03/14 10:17,5.9
02/03/14 10:18,5.9
02/03/14 10:19,5.9
02/03/14 10:20,5.9
02/03/14 10:21,5.9
02/03/14 10:22,5.9
02/03/14 10:24,6
02/03/14 10:24,6
02/03/14 10:25,6
02/03/14 10:26,6
02/03/14 10:27,6
02/03/14 10:29,6.1
02/03/14 10:30,6.1
02/03/14 10:31,6.1
02/03/14 10:32,6.1
02/03/14 10:32,6.2
02/03/14 10:34,6.2
02/03/14 10:35,6.2
02/03/14 10:36,6.2
02/03/14 10:37,6.2
02/03/14 10:38,6.2
02/03/14 10:39,6.3
02/03/14 10:40,6.3
02/03/14 10:41,6.3
02/03/14 10:42,6.3
02/03/14 10:43,6.3
02/03/14 10:45,6.3
02/03/14 10:46,6.3
02/03/14 10:47,6.3
02/03/14 10:47,6.3
02/03/14 10:48,6.3
02/03/14 10:50,6.3
02/03/14 10:51,6.3
02/03/14 10:52,6.4
02/03/14 10:53,6.4
02/03/14 10:54,6.4
02/03/14 10:55,6.4
02/03/14 10:56,6.5
02/03/14 10:57,6.5
02/03/14 10:58,6.4
02/03/14 10:59,6.5
02/03/14 11:01,6.5
02/03/14 11:02,6.5
02/03/14 11:02,6.6
02/03/14 11:03,6.6
02/03/14 11:04,6.6
02/03/14 11:06,6.6
02/03/14 11:07,6.6
02/03/14 11:08,6.6
02/03/14 11:09,6.6
02/03/14 11:10,6.7
02/03/14 11:11,6.7
02/03/14 11:12,6.7
02/03/14 11:14,6.8
02/03/14 11:15,6.9
02/03/14 11:17,6.9
02/03/14 11:17,7
02/03/14 11:18,7.1
02/03/14 11:19,7.1
02/03/14 11:20,7.2
02/03/14 11:22,7.3
02/03/14 11:23,7.4
02/03/14 11:24,7.4
02/03/14 11:25,7.5
02/03/14 11:25,7.5
02/03/14 11:27,7.6
02/03/14 11:28,7.6
02/03/14 11:29,7.6
02/03/14 11:30,7.7
02/03/14 11:31,7.7
02/03/14 11:32,7.8
02/03/14 11:33,7.8
02/03/14 11:34,7.8
02/03/14 11:35,7.9
02/03/14 11:36,7.9
02/03/14 11:38,8
02/03/14 11:39,8
02/03/14 11:40,8
02/03/14 11:40,8
02/03/14 11:41,8.1
02/03/14 11:43,8.1
02/03/14 11:44,8.1
02/03/14 11:45,8.2
02/03/14 11:46,8.2
02/03/14 11:47,8.2
02/03/14 11:48,8.3
02/03/14 11:49,8.3
02/03/14 11:50,8.3
02/03/14 11:51,8.3
02/03/14 11:52,8.4
02/03/14 11:54,8.4
02/03/14 11:55,8.4
02/03/14 11:55,8.4
02/03/14 11:56,8.4
02/03/14 11:57,8.5
02/03/14 11:59,8.6
