"timestamp","current"
03/03/14 21:46,402
03/03/14 21:47,402
03/03/14 21:48,370
03/03/14 21:48,370
03/03/14 21:48,402
03/03/14 21:48,402
03/03/14 21:49,531
03/03/14 21:49,515
03/03/14 21:49,1432
03/03/14 21:49,1416
03/03/14 21:50,1400
03/03/14 21:51,1400
03/03/14 21:51,1464
03/03/14 21:51,1593
03/03/14 21:52,804
03/03/14 21:52,804
03/03/14 21:52,804
03/03/14 21:53,724
03/03/14 21:53,804
03/03/14 21:53,804
03/03/14 21:53,579
03/03/14 21:54,724
03/03/14 21:54,466
03/03/14 21:54,482
03/03/14 21:55,466
03/03/14 21:56,466
03/03/14 21:57,482
03/03/14 21:58,482
03/03/14 21:59,466
03/03/14 22:00,466
03/03/14 22:01,466
03/03/14 22:02,466
03/03/14 22:03,466
03/03/14 22:04,466
03/03/14 22:05,466
03/03/14 22:06,466
03/03/14 22:07,466
03/03/14 22:08,466
03/03/14 22:09,466
03/03/14 22:10,498
03/03/14 22:10,515
03/03/14 22:11,515
03/03/14 22:12,515
03/03/14 22:13,515
03/03/14 22:14,498
03/03/14 22:15,498
03/03/14 22:16,515
03/03/14 22:17,498
03/03/14 22:18,498
03/03/14 22:19,498
03/03/14 22:20,498
03/03/14 22:21,498
03/03/14 22:22,498
03/03/14 22:23,498
03/03/14 22:24,498
03/03/14 22:25,498
03/03/14 22:26,515
03/03/14 22:27,498
03/03/14 22:28,498
03/03/14 22:29,498
03/03/14 22:30,498
03/03/14 22:31,531
03/03/14 22:31,531
03/03/14 22:31,531
03/03/14 22:32,547
03/03/14 22:33,515
03/03/14 22:33,531
03/03/14 22:34,515
03/03/14 22:35,515
03/03/14 22:36,531
03/03/14 22:37,531
03/03/14 22:37,466
03/03/14 22:38,482
03/03/14 22:38,466
03/03/14 22:39,466
03/03/14 22:40,466
03/03/14 22:41,466
03/03/14 22:42,466
03/03/14 22:43,466
03/03/14 22:44,466
03/03/14 22:45,466
03/03/14 22:46,466
03/03/14 22:47,466
03/03/14 22:48,466
03/03/14 22:49,466
03/03/14 22:50,466
03/03/14 22:51,466
03/03/14 22:52,466
03/03/14 22:53,466
03/03/14 22:54,466
03/03/14 22:55,434
03/03/14 22:55,402
03/03/14 22:55,370
03/03/14 22:56,370
03/03/14 22:56,515
03/03/14 22:56,515
03/03/14 22:57,354
03/03/14 22:57,273
03/03/14 22:57,482
03/03/14 22:57,338
03/03/14 22:58,338
03/03/14 22:58,273
03/03/14 22:58,273
03/03/14 22:59,370
03/03/14 22:59,370
03/03/14 22:59,354
03/03/14 23:00,370
03/03/14 23:01,354
03/03/14 23:01,273
03/03/14 23:01,273
03/03/14 23:02,289
03/03/14 23:03,289
03/03/14 23:04,289
03/03/14 23:05,289
03/03/14 23:06,273
03/03/14 23:07,273
03/03/14 23:08,273
03/03/14 23:09,273
03/03/14 23:10,273
03/03/14 23:11,273
03/03/14 23:12,273
03/03/14 23:13,273
03/03/14 23:14,273
03/03/14 23:15,273
03/03/14 23:16,273
03/03/14 23:17,273
03/03/14 23:18,289
03/03/14 23:19,273
03/03/14 23:20,273
03/03/14 23:21,273
03/03/14 23:22,273
03/03/14 23:23,289
03/03/14 23:24,273
03/03/14 23:25,273
03/03/14 23:26,273
03/03/14 23:27,273
03/03/14 23:28,289
03/03/14 23:29,273
03/03/14 23:30,273
03/03/14 23:31,273
03/03/14 23:32,273
03/03/14 23:33,273
03/03/14 23:34,273
03/03/14 23:34,338
03/03/14 23:35,305
03/03/14 23:35,305
03/03/14 23:35,305
03/03/14 23:36,305
03/03/14 23:37,305
03/03/14 23:38,289
03/03/14 23:39,289
03/03/14 23:40,289
03/03/14 23:41,289
03/03/14 23:42,289
03/03/14 23:43,305
03/03/14 23:44,305
03/03/14 23:45,289
03/03/14 23:46,289
03/03/14 23:47,289
03/03/14 23:48,289
03/03/14 23:49,305
03/03/14 23:50,289
03/03/14 23:51,289
03/03/14 23:52,289
03/03/14 23:53,289
03/03/14 23:54,305
03/03/14 23:55,289
03/03/14 23:56,289
03/03/14 23:57,289
03/03/14 23:58,289
03/03/14 23:59,289
03/04/14 00:00,289
03/04/14 00:01,289
03/04/14 00:02,289
03/04/14 00:03,289
03/04/14 00:04,273
03/04/14 00:05,273
03/04/14 00:06,273
03/04/14 00:07,273
03/04/14 00:08,273
03/04/14 00:09,273
03/04/14 00:10,273
03/04/14 00:11,273
03/04/14 00:12,273
03/04/14 00:13,273
03/04/14 00:14,273
03/04/14 00:15,273
03/04/14 00:16,273
03/04/14 00:17,273
03/04/14 00:18,273
03/04/14 00:19,273
03/04/14 00:20,273
03/04/14 00:21,273
03/04/14 00:22,289
03/04/14 00:23,273
03/04/14 00:24,273
03/04/14 00:25,273
03/04/14 00:26,273
03/04/14 00:27,273
03/04/14 00:28,273
03/04/14 00:29,273
03/04/14 00:30,273
03/04/14 00:31,273
03/04/14 00:32,273
03/04/14 00:33,273
03/04/14 00:34,273
03/04/14 00:35,273
03/04/14 00:36,273
03/04/14 00:37,273
03/04/14 00:38,273
03/04/14 00:39,273
03/04/14 00:40,273
03/04/14 00:41,273
03/04/14 00:42,273
